trialNum,lVal,rVal,firstVal,secondVal,chosenVal,leftChosen,firstChosen,liftRT,reachRT,firstIsLeft,firstIsRight,secondIsLeft,secondIsRight,firstFixLat,secondFixLat,thirdFixLat,firstFixDur,secondFixDur,thirdFixDur
413,5,4,4,5,5,1,0,0.647081045433879,0.190459525212646,0,1,1,0,0.183,0.427,NaN,0.184,0.448,NaN
415,4,3,4,3,3,-0,0,0.870721627026796,0.152609812095761,1,0,0,1,0.215,0.447,NaN,0.18,0.892,NaN
419,5,4,4,5,5,1,0,0.87735733948648,0.154348716139793,0,1,1,0,0.166,0.422,NaN,0.212,0.808,NaN
439,3,4,4,3,4,-0,1,0.947152616456151,0.171237803995609,0,1,1,0,0.143,0.447,0.767,0.264,0.268,0.592
450,4,2,4,2,2,-0,0,0.767322167754173,0.165863865986466,1,0,0,1,0.163,0.435,NaN,0.216,0.712,NaN
471,1,4,4,1,4,-0,1,0.857292875647545,0.13921956717968,0,1,1,0,0.139,0.363,0.647,0.18,0.232,0.528
485,1,4,4,1,4,-0,1,0.735765067860484,0.15385764837265,0,1,1,0,0.158,0.406,0.594,0.208,0.144,0.492
529,4,5,4,5,5,-0,0,0.877482274547219,0.154268709942698,1,0,0,1,0.157,0.369,NaN,0.164,0.968,NaN
550,1,4,4,1,4,-0,1,0.787385147064924,0.152252353727818,0,1,1,0,0.126,0.414,0.634,0.248,0.184,1.008
551,2,4,4,2,4,-0,1,0.807058406993747,0.146616687998176,0,1,1,0,0.159,0.427,0.659,0.224,0.184,0.512
571,4,1,4,1,4,1,1,0.767303979024291,0.155624786391854,1,0,0,1,0.168,0.428,0.676,0.204,0.192,0.388
576,3,4,4,3,4,-0,1,1.03711413964629,0.143268503248692,0,1,1,0,0.149,0.545,0.897,0.356,0.3,0.396
582,1,4,4,1,4,-0,1,0.837112799286842,0.172871710732579,0,1,1,0,0.159,0.439,0.679,0.24,0.196,0.568
32,4,3,4,3,4,1,1,0.786960000172257,0.142884414643049,1,0,0,1,0.204,0.412,0.632,0.156,0.16,0.536
36,5,4,4,5,5,1,0,1.19736468791962,0.161866243928671,0,1,1,0,0.156,0.392,0.828,0.188,0.388,0.204
72,1,4,4,1,4,-0,1,0.746397420763969,0.159764871001244,0,1,1,0,0.207,0.415,0.719,0.164,0.256,0.848
85,4,4,4,4,4,1,1,0.776992924511433,0.144222160801291,1,0,0,1,0.159,0.415,0.643,0.216,0.184,0.384
96,5,4,4,5,4,-0,1,0.71700388379395,0.145896347239614,0,1,1,0,0.161,0.385,0.569,0.176,0.14,0.804
97,4,3,4,3,3,-0,0,0.967146094888449,0.136449234560132,1,0,0,1,0.153,0.373,0.661,0.164,0.228,0.148
98,5,4,4,5,5,1,0,0.957143347710371,0.139849785715342,0,1,1,0,0.147,0.423,NaN,0.22,0.852,NaN
143,4,4,4,4,4,1,1,0.707033956423402,0.139166986569762,1,0,0,1,0.142,0.382,0.578,0.2,0.152,0.588
159,3,4,4,3,4,-0,1,0.827057072892785,0.154670676216483,0,1,1,0,0.154,0.422,0.678,0.22,0.204,1.044
163,4,1,4,1,4,1,1,0.717141656205058,0.145872339606285,1,0,0,1,0.172,0.388,0.612,0.176,0.176,0.52
164,4,2,4,2,4,1,1,0.927195210009813,0.144454304128885,1,0,0,1,0.188,0.396,0.752,0.156,0.32,0.644
168,2,4,4,2,4,-0,1,0.807094013318419,0.139479601755738,0,1,1,0,0.185,0.453,0.721,0.212,0.228,0.644
173,3,4,4,3,4,-0,1,0.967080034315586,0.146260624751449,0,1,1,0,0.17,0.41,0.786,0.188,0.328,0.488
182,5,4,4,5,5,1,0,1.0374833252281,0.133034806698561,0,1,1,0,0.266,0.53,NaN,0.224,1.016,NaN
186,4,2,4,2,4,1,1,0.947299698367715,0.141656901687384,1,0,0,1,0.202,0.442,0.754,0.196,0.256,0.524
197,4,5,4,5,4,1,1,0.797098506242037,0.161494875326753,1,0,0,1,0.185,0.465,0.685,0.24,0.176,0.496
215,4,4,4,4,4,1,1,0.867315443232656,0.146021505817771,1,0,0,1,0.166,0.402,0.678,0.196,0.232,0.476
235,5,4,4,5,5,1,0,0.867127710953355,0.146378045901656,0,1,1,0,0.157,0.413,NaN,0.216,0.62,NaN
242,4,2,4,2,4,1,1,0.657794350758195,0.166679320856929,1,0,0,1,0.171,0.419,0.627,0.208,0.152,0.256
250,3,4,4,3,3,1,0,0.807270286604762,0.14923482015729,0,1,1,0,0.136,0.412,NaN,0.232,0.656,NaN
254,2,4,4,2,4,-0,1,0.797209044918418,0.16075492836535,0,1,1,0,0.161,0.441,0.701,0.236,0.216,0.816
