trialNum,firstVal,secondVal,firstIsChosen,decisionRT,firstFixLat,secondFixLat,thirdFixLat
394,2,4,1,0.897282650694251,0.177,0.429,0.693
399,2,3,1,0.957153679803014,0.165,0.405,0.677
412,2,4,0,0.828099830076098,0.171,0.427,NaN
423,2,5,0,0.816929554566741,0.184,0.404,NaN
441,2,3,0,1.32694273628294,0.19,0.414,0.81
454,2,4,0,0.737265780568123,0.148,0.4,NaN
463,2,3,0,0.887187054380774,0.149,0.369,NaN
520,2,5,0,0.827312663197517,0.176,0.46,NaN
530,2,5,0,0.836972929537296,0.153,0.429,NaN
531,2,2,1,1.09717959351838,0.206,0.438,0.782
585,2,4,0,0.844613950699568,0.236,0.468,NaN
18,2,3,1,0.917144233360887,0.154,0.39,0.766
22,2,2,0,0.747192611917853,0.184,0.408,NaN
27,2,5,0,0.776924883946776,0.169,0.389,NaN
32,2,3,0,0.756987489759922,0.163,0.395,NaN
34,2,4,0,0.776947682723403,0.163,0.419,NaN
51,2,4,0,0.797012951225042,0.167,0.407,NaN
60,2,3,0,0.816916394978762,0.179,0.399,NaN
73,2,5,0,0.706937214359641,0.146,0.386,NaN
80,2,5,0,0.747146541252732,0.167,0.423,NaN
81,2,3,1,1.04696319438517,0.143,0.387,0.851
87,2,3,0,0.737273555248976,0.165,0.377,NaN
109,2,1,1,0.937603455036879,0.277,0.517,0.937
121,2,4,0,0.797209225594997,0.172,0.44,NaN
129,2,3,0,0.86702916957438,0.15,0.394,NaN
132,2,5,0,0.706897670403123,0.151,0.391,NaN
135,2,3,0,0.716855755075812,0.143,0.359,NaN
141,2,3,0,0.747068198397756,0.144,0.404,NaN
159,2,1,0,0.87706945091486,0.224,0.496,NaN
181,2,4,0,0.846971577033401,0.147,0.403,NaN
187,2,1,1,1.08809249103069,0.212,0.472,0.852
189,2,3,0,0.846810543909669,0.19,0.426,NaN
190,2,5,0,0.767083564773202,0.15,0.378,NaN
201,2,5,0,0.747243084013462,0.138,0.406,NaN
213,2,3,0,0.807056145742536,0.181,0.405,NaN
253,2,5,0,0.806780487298965,0.146,0.374,NaN
263,2,5,0,0.857608113437891,0.18,0.412,NaN
265,2,1,0,0.866981614381075,0.167,0.415,NaN
271,2,3,0,0.797109570354223,0.161,0.393,NaN
273,2,1,0,1.33853436075151,0.201,0.437,1.001
279,2,5,0,0.787095837295055,0.15,0.438,NaN
298,2,1,0,0.836927983909845,0.133,0.417,NaN
300,2,4,0,0.837327681481838,0.198,0.446,NaN
309,2,3,0,0.816914333030581,0.161,0.393,NaN
324,2,1,0,0.846878848969936,0.165,0.405,NaN
329,2,3,0,0.79695182107389,0.201,0.449,NaN
346,2,1,0,0.796888409182429,0.172,0.408,NaN
360,2,3,0,0.777166182175279,0.16,0.404,NaN
377,2,1,0,0.737191712483764,0.191,0.423,NaN
397,2,3,1,0.987051958218217,0.149,0.381,0.721
419,2,3,0,0.78717052936554,0.15,0.366,NaN
482,2,5,0,0.717334471642971,0.139,0.371,NaN
489,2,5,0,0.83697022870183,0.194,0.43,NaN
496,2,5,0,0.707421068102121,0.146,0.382,NaN
497,2,5,0,0.777222909033298,0.185,0.433,NaN
512,2,3,0,0.817268285900354,0.152,0.376,NaN
527,2,3,0,0.786901628598571,0.143,0.379,NaN
533,2,3,0,1.20725450851023,0.161,0.397,NaN
539,2,3,0,0.757159475237131,0.146,0.37,NaN
548,2,3,0,0.947252117097378,0.148,0.4,NaN
556,2,4,0,0.787124145776033,0.139,0.363,NaN
559,2,4,0,0.777432622388005,0.152,0.38,NaN
567,2,4,0,0.751053411513567,0.171,0.399,NaN
598,2,3,0,0.977133255451918,0.255,0.523,NaN
599,2,3,0,0.757271636277437,0.141,0.389,NaN
601,2,4,0,0.827467750757933,0.182,0.418,NaN
7,3,5,0,0.957644844427705,0.144,0.404,NaN
40,3,2,1,0.966981079429388,0.197,0.457,0.813
53,3,4,1,0.907267600297928,0.172,0.424,0.692
56,3,1,1,0.827160092070699,0.159,0.419,0.663
